date,symbol,close,broker,entry_order_type,entry_stop,entry_limit,stop_loss,risk_per_share,target_2r,qty,risk_amount,commission_buy_eur,commission_sell_eur,estimated_roundtrip_fees,max_allowed_open_price,max_open_gap_above_entry_pct,setup,status,notes
2026-09-04,AMZN,258.51,Trade Republic,buy_stop,261.3811,,254.7036,6.6776,274.7362,7,46.74,1.0,1.0,2.0,263.9949,0.01,trend_pullback_signal_candle,pending_entry,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-09-04,CABK.MC,13.515,Trade Republic,buy_stop,13.5636,,13.3076,0.2559,14.0754,195,49.91,1.0,1.0,2.0,13.6992,0.01,trend_pullback_signal_candle,pending_entry,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-09-07,SAN.MC,12.886,Trade Republic,buy_stop,12.9169,,12.7735,0.1434,13.2038,348,49.91,1.0,1.0,2.0,13.0461,0.01,trend_pullback_signal_candle,pending_entry,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
